InputFile,Vertices,Edges,Alpha,Greedy  Search Value,Average Random  Search Value,Average Semi_Greedy  Search Value,Average Local Iteration Count,Average Local  Search Value,Grasp Iteration Count,Best Grasp Value,Best Known Upper Bound
,,,0.7,,14,471,92,454,20,500,
,,,,,,469,94,455,50,496,
,,,,,16,471,,,100,502,
,,,,,,470,,454,500,504,
,,,,,17,,,,1000,520,
,,,0.8,,22,474,91,457,20,500,
,,,,,15,476,94,459,50,504,
,,,,,18,,93,457,100,506,
,,,,,16,477,94,,500,512,
,,,,,17,476,,,1000,510,
,,,0.9,,16,485,93,462,20,,
,,,,,15,483,92,457,50,506,
,,,,,18,482,,458,100,508,
,,,,,,,94,459,500,512,
,,,,,17,,93,,1000,518,
,,,1,,20,481,92,460,20,502,
,,,,,13,,93,458,50,506,
,,,,,15,483,,460,100,,
,,,,,17,482,,459,500,514,
,,,,,,,94,,1000,516,
G12,,,0,476,0,396,99,426,20,452,621
,,,,,-3,397,100,424,50,454,
,,,,,,396,101,,100,456,
,,,,,-1,397,,,500,462,
,,,,,,396,,,1000,464,
,,,0.1,,-2,398,99,,20,450,
,,,,,0,397,100,425,50,,
,,,,,-2,398,101,424,100,468,
,,,,,,396,102,423,500,466,
,,,,,0,397,101,424,1000,462,
,,,0.2,,2,398,99,425,20,456,
,,,,,0,399,100,424,50,,
,,,,,-6,396,102,423,100,454,
,,,,,-2,,101,,500,460,
,,,,,-3,397,102,424,1000,462,
,,,0.3,,0,401,98,425,20,450,
,,,,,-1,399,100,426,50,460,
,,,,,2,396,,423,100,464,
,,,,,-1,397,101,424,500,,
,,,,,,,,,1000,460,
,,,0.4,,,,97,423,20,450,
,,,,,0,401,99,424,50,464,
,,,,,2,400,,425,100,460,
,,,,,-1,401,101,,500,466,
,,,,,-2,,,,1000,464,
,,,0.5,,,411,98,427,20,466,
,,,,,0,409,99,428,50,472,
,,,,,-3,411,,,100,464,
,,,,,-2,409,100,427,500,468,
,,,,,,,,,1000,478,
,,,0.6,,0,440,95,439,20,476,
,,,,,,437,96,436,50,484,
,,,,,-3,435,98,435,100,486,
,,,,,0,436,97,436,500,488,
,,,,,-1,,98,,1000,,
,,,0.7,,1,458,95,447,20,492,
,,,,,-2,459,96,446,50,,
,,,,,-5,456,97,444,100,490,
,,,,,-1,458,96,,500,502,
,,,,,-2,457,97,,1000,498,
,,,0.8,,6,461,92,443,20,490,
,,,,,0,460,95,446,50,,
,,,,,,461,,,100,494,
,,,,,-1,463,96,,500,506,
,,,,,-2,462,,,1000,500,
,,,0.9,,-5,473,,452,20,498,
,,,,,0,472,93,447,50,496,
,,,,,-2,473,95,450,100,506,
,,,,,,472,96,,500,,
,,,,,-1,,,,1000,508,
,,,1,,1,469,91,444,20,498,
,,,,,-3,472,95,448,50,504,
,,,,,-4,,96,451,100,500,
,,,,,-2,,,450,500,510,
,,,,,-1,,,,1000,508,
G13,,,0,520,17,419,99,445,20,480,645
,,,,,12,,102,447,50,,
,,,,,15,417,103,448,100,478,
,,,,,18,418,102,447,500,486,
,,,,,16,,103,,1000,490,
,,,0.1,,14,413,101,445,20,470,
,,,,,18,422,,448,50,492,
,,,,,16,418,102,446,100,476,
,,,,,17,,,447,500,496,
,,,,,15,,103,,1000,492,
,,,0.2,,18,415,100,,20,472,
,,,,,20,417,101,,50,474,
,,,,,,418,,,100,480,
,,,,,17,,103,,500,488,
,,,,,,,102,,1000,492,
,,,0.3,,14,423,100,449,20,472,
,,,,,18,420,,447,50,482,
,,,,,20,419,101,448,100,,
,,,,,16,418,103,447,500,490,
,,,,,,420,,448,1000,496,
,,,0.4,,10,423,100,,20,478,
,,,,,9,424,103,,50,480,
,,,,,16,,101,449,100,486,
,,,,,17,423,102,448,500,490,
,,,,,16,422,,,1000,488,
,,,0.5,,12,434,99,453,20,486,
,,,,,,432,102,452,50,494,
,,,,,16,431,101,451,100,490,
,,,,,17,433,,,500,502,
,,,,,16,431,,,1000,498,
,,,0.6,,11,461,97,461,20,502,
,,,,,14,,98,460,50,514,
,,,,,18,460,97,459,100,504,
,,,,,16,,99,460,500,516,
,,,,,,,,459,1000,522,
,,,0.7,,20,484,93,466,20,516,
,,,,,16,,96,468,50,,
,,,,,17,483,97,469,100,,
,,,,,18,,96,467,500,528,
,,,,,,482,97,468,1000,524,
,,,0.8,,,489,94,470,20,520,
,,,,,19,,95,,50,518,
,,,,,16,,96,,100,528,
,,,,,,,97,,500,,
,,,,,15,488,,,1000,,
,,,0.9,,14,498,94,473,20,524,
,,,,,18,495,95,,50,522,
,,,,,15,496,96,,100,524,
,,,,,17,495,,472,500,530,
,,,,,,,,,1000,534,
,,,1,,23,494,93,474,20,518,
,,,,,18,,94,471,50,522,
,,,,,20,496,95,472,100,526,
,,,,,16,495,96,473,500,530,
,,,,,17,,,472,1000,538,
G14,,4694,0,2964,2350,2868,155,2930,20,2949,3187
,,,,,2339,,156,2927,50,2958,
,,,,,2346,2867,157,2929,100,2963,
,,,,,2347,,158,,500,2970,
,,,,,,,,2930,1000,2969,
,,,0.1,,2357,2912,144,2939,20,2973,
,,,,,2344,,148,2937,50,2980,
,,,,,,2913,149,2938,100,2979,
,,,,,2345,2912,150,2939,500,2988,
,,,,,2347,,149,2938,1000,2984,
,,,0.2,,2352,2926,142,2941,20,2980,
,,,,,2348,2925,145,2940,50,2988,
,,,,,2344,2923,146,,100,2982,
,,,,,2346,2924,147,2942,500,2998,
,,,,,2348,2925,,,1000,2992,
,,,0.3,,2347,2935,144,,20,2983,
,,,,,2357,2933,142,2943,50,2984,
,,,,,2341,,145,2944,100,2985,
,,,,,2349,,,2943,500,2992,
,,,,,2348,2932,,,1000,2995,
,,,0.4,,,2934,143,2942,20,2987,
,,,,,,2935,144,2944,50,3001,
,,,,,2343,2934,145,2943,100,2986,
,,,,,2344,2935,,2944,500,3001,
,,,,,2347,,,,1000,3000,
,,,0.5,,2352,2937,141,2942,20,2985,
,,,,,2345,2938,144,2944,50,2991,
,,,,,2340,2937,145,2946,100,2987,
,,,,,2348,,144,2944,500,3000,
,,,,,2347,2938,145,2945,1000,2995,
,,,0.6,,2352,2941,141,2944,20,2985,
,,,,,2341,2939,144,2943,50,3001,
,,,,,2340,2940,145,2945,100,2991,
,,,,,2346,2939,144,,500,3000,
,,,,,2348,2940,,,1000,3004,
,,,0.7,,2356,2941,142,,20,2984,
,,,,,2344,,,,50,2990,
,,,,,,2943,144,2947,100,2994,
,,,,,,,,2946,500,,
,,,,,2346,,,,1000,3000,
,,,0.8,,2336,2948,140,,20,2991,
,,,,,2343,2944,142,2945,50,2985,
,,,,,2350,,,,100,2991,
,,,,,2346,2945,143,2946,500,3003,
,,,,,2347,,,,1000,3000,
,,,0.9,,2348,2946,138,,20,2987,
,,,,,2349,2947,140,,50,2994,
,,,,,2343,2946,143,,100,3000,
,,,,,2346,2944,,2945,500,3001,
,,,,,,2946,,2946,1000,3013,
,,,1,,2336,2944,142,2942,20,2993,
,,,,,2353,2946,,2946,50,2990,
,,,,,2349,,,2947,100,2995,
,,,,,,2945,143,2946,500,,
,,,,,2347,2946,,,1000,3001,
G15,,4661,0,2931,2334,2848,156,2910,20,2940,3169
,,,,,2323,2851,157,,50,2947,
,,,,,2328,2850,159,2912,100,2954,
,,,,,2332,2849,,2911,500,2951,
,,,,,2328,,160,,1000,2954,
,,,0.1,,2331,2897,148,2921,20,2965,
,,,,,2330,2893,,2919,50,2959,
,,,,,2335,2895,150,2921,100,2971,
,,,,,2330,2894,151,,500,2973,
,,,,,2329,,,2920,1000,2970,
,,,0.2,,2322,2903,145,,20,2957,
,,,,,2325,,149,2922,50,2969,
,,,,,2328,2905,,2923,100,2966,
,,,,,2332,,,,500,2973,
,,,,,2331,,,,1000,2979,
,,,0.3,,2328,2914,145,2925,20,2962,
,,,,,2329,2913,,,50,2968,
,,,,,2327,2914,147,,100,2973,
,,,,,2331,2913,,,500,2975,
,,,,,,,148,,1000,2980,
,,,0.4,,2314,2914,145,,20,2970,
,,,,,2324,2915,,2924,50,2965,
,,,,,2333,,146,2925,100,2976,
,,,,,2330,2916,147,2926,500,2973,
,,,,,2331,2915,,,1000,2981,
,,,0.5,,2333,2917,145,2927,20,2966,
,,,,,2334,2916,147,,50,2974,
,,,,,2335,2917,144,2925,100,2973,
,,,,,2334,,145,2926,500,2975,
,,,,,2330,,146,,1000,2980,
,,,0.6,,2332,2916,144,2924,20,2962,
,,,,,2326,2917,147,2926,50,2981,
,,,,,2325,2918,,,100,2968,
,,,,,2329,,146,,500,2978,
,,,,,2331,,,,1000,,
,,,0.7,,2335,2917,139,2924,20,2964,
,,,,,2328,2919,145,2928,50,2974,
,,,,,2329,2921,144,2926,100,2980,
,,,,,,2920,146,,500,2979,
,,,,,2331,,,,1000,2991,
,,,0.8,,2339,2924,139,,20,2971,
,,,,,2323,2923,145,2925,50,2969,
,,,,,2333,2922,143,,100,2970,
,,,,,2329,2923,145,2927,500,2982,
,,,,,,,,,1000,2980,
,,,0.9,,2338,2922,143,2926,20,2963,
,,,,,2335,2926,144,2928,50,2982,
,,,,,2333,2923,,2927,100,2975,
,,,,,2331,,145,,500,2981,
,,,,,,,,,1000,2984,
,,,1,,2335,,143,2928,20,2965,
,,,,,2332,,144,2926,50,2981,
,,,,,2333,2924,,2927,100,2978,
,,,,,2328,2923,146,,500,2980,
,,,,,2331,2922,145,2926,1000,2985,
G16,,4672,0,2942,2351,2859,151,2917,20,2952,3172
,,,,,2333,2854,156,2916,50,2950,
,,,,,2334,2853,158,2914,100,2948,
,,,,,2337,2854,,2915,500,2951,
,,,,,,,,,1000,2952,
,,,0.1,,2336,2898,148,2924,20,2955,
,,,,,2342,,147,,50,2968,
,,,,,2337,2897,148,,100,2961,
,,,,,,2899,150,2925,500,2977,
,,,,,2335,,,,1000,2975,
,,,0.2,,2338,2909,144,,20,2957,
,,,,,2329,2905,148,2928,50,2966,
,,,,,2333,2910,,,100,2967,
,,,,,2337,,147,,500,2984,
,,,,,2336,2909,148,,1000,2974,
,,,0.3,,2341,2920,143,2930,20,2973,
,,,,,2339,2918,144,,50,2980,
,,,,,2335,2917,148,2929,100,2975,
,,,,,2336,,147,,500,2981,
,,,,,2337,,,2930,1000,2979,
,,,0.4,,2329,2925,146,2933,20,,
,,,,,2342,2919,144,2929,50,2980,
,,,,,2332,2920,146,2930,100,2975,
,,,,,2337,,,,500,2983,
,,,,,2334,2919,147,,1000,2988,
,,,0.5,,2345,2922,140,2929,20,2968,
,,,,,2335,2920,146,2931,50,2969,
,,,,,2337,2923,,2932,100,2977,
,,,,,2336,2922,,2931,500,2985,
,,,,,2333,,,,1000,,
,,,0.6,,2337,2923,141,2929,20,2971,
,,,,,2332,2924,145,2932,50,2981,
,,,,,2333,,,,100,2978,
,,,,,2334,2923,146,2931,500,2981,
,,,,,2335,2924,,,1000,2984,
,,,0.7,,2331,2927,141,2934,20,2979,
,,,,,2333,,143,2932,50,2973,
,,,,,2330,2926,144,2931,100,2984,
,,,,,2335,2924,145,2932,500,2988,
,,,,,,2926,,,1000,,
,,,0.8,,2337,2932,139,,20,2986,
,,,,,2322,2927,147,2934,50,2975,
,,,,,2333,2926,144,2931,100,2979,
,,,,,2337,2928,145,2932,500,2981,
,,,,,2335,,144,,1000,2988,
,,,0.9,,2334,2927,140,2929,20,2982,
,,,,,2350,2928,142,2933,50,2988,
,,,,,2337,2927,144,2932,100,2977,
,,,,,2338,,,,500,2983,
,,,,,2335,2928,,,1000,2985,
,,,1,,2329,2931,145,2935,20,2987,
,,,,,2347,2927,142,2933,50,2980,
,,,,,2335,2928,144,2932,100,2985,
,,,,,2336,2927,145,,500,2987,
,,,,,,2928,144,,1000,2984,
G17,,4667,0,2939,2332,2847,157,2912,20,2940,
,,,,,2333,2850,159,2913,50,2941,
,,,,,,,161,,100,2965,
,,,,,2335,2852,160,2914,500,2959,
,,,,,2334,2851,,2913,1000,2957,
,,,0.1,,2329,2893,149,2918,20,2956,
,,,,,2335,,151,2923,50,2968,
,,,,,2332,,,2922,100,2966,
,,,,,,2895,152,,500,,
,,,,,2331,2894,,,1000,2980,
,,,0.2,,2337,2907,146,2925,20,2966,
,,,,,2338,2904,151,,50,2965,
,,,,,2335,2907,149,,100,2978,
