G9,800,19176,0,1455,-50,1423,389,1791,20,1895,
G9,800,19176,0,1455,-15,1425,394,1786,50,1879,
G9,800,19176,0,1455,-33,1423,396,1790,100,1903,
G9,800,19176,0,1455,-31,1423,401,1793,500,1933,
G9,800,19176,0,1455,-29,1427,399,1792,1000,1932,
G9,800,19176,0.1,1455,-41,1430,389,1793,20,1902,
G9,800,19176,0.1,1455,-29,1425,390,1786,50,1872,
G9,800,19176,0.1,1455,-32,1426,394,1789,100,1928,
G9,800,19176,0.1,1455,-37,1424,400,1790,500,1905,
G9,800,19176,0.1,1455,-32,1425,399,1792,1000,1940,
G9,800,19176,0.2,1455,-49,1434,391,1794,20,1911,
G9,800,19176,0.2,1455,-26,1426,388,1789,50,1904,
G9,800,19176,0.2,1455,-20,1428,393,1790,100,1892,
G9,800,19176,0.2,1455,-31,1424,400,1794,500,1910,
G9,800,19176,0.2,1455,-34,1429,399,1793,1000,1912,
G9,800,19176,0.3,1455,-23,1431,385,1786,20,1863,
G9,800,19176,0.3,1455,-36,1426,394,1790,50,1894,
G9,800,19176,0.3,1455,-39,1425,398,1787,100,1895,
G9,800,19176,0.3,1455,-33,1430,397,1792,500,1918,
G9,800,19176,0.3,1455,-32,1429,398,1790,1000,1921,
G9,800,19176,0.4,1455,-42,1431,392,1790,20,1883,
G9,800,19176,0.4,1455,-40,1440,392,1789,50,1884,
G9,800,19176,0.4,1455,-47,1443,398,1797,100,1930,
G9,800,19176,0.4,1455,-30,1447,392,1791,500,1963,
G9,800,19176,0.4,1455,-32,1445,395,1793,1000,1919,
G9,800,19176,0.5,1455,-47,1474,384,1795,20,1909,
G9,800,19176,0.5,1455,-27,1484,385,1794,50,1905,
G9,800,19176,0.5,1455,-25,1480,389,1801,100,1881,
G9,800,19176,0.5,1455,-32,1485,389,1794,500,1917,
G9,800,19176,0.5,1455,-34,1481,388,1794,1000,1921,
G9,800,19176,0.6,1455,-19,1538,365,1794,20,1877,
G9,800,19176,0.6,1455,-29,1548,374,1802,50,1904,
G9,800,19176,0.6,1455,-50,1546,375,1796,100,1923,
G9,800,19176,0.6,1455,-31,1543,376,1798,500,1944,
G9,800,19176,0.6,1455,-30,1544,374,1794,1000,1943,
G9,800,19176,0.7,1455,-36,1584,363,1793,20,1930,
G9,800,19176,0.7,1455,-41,1586,370,1805,50,1890,
G9,800,19176,0.7,1455,-26,1589,364,1802,100,1905,
G9,800,19176,0.7,1455,-32,1591,368,1802,500,1905,
G9,800,19176,0.7,1455,-30,1589,367,1800,1000,1928,
G9,800,19176,0.8,1455,6,1617,348,1804,20,1900,
G9,800,19176,0.8,1455,-46,1616,361,1807,50,1909,
G9,800,19176,0.8,1455,-15,1618,358,1806,100,1913,
G9,800,19176,0.8,1455,-34,1619,362,1804,500,1914,
G9,800,19176,0.8,1455,-30,1616,362,1804,1000,1964,
G9,800,19176,0.9,1455,-38,1633,352,1805,20,1892,
G9,800,19176,0.9,1455,-22,1641,356,1806,50,1929,
G9,800,19176,0.9,1455,-32,1637,357,1805,100,1892,
G9,800,19176,0.9,1455,-32,1638,357,1807,500,1923,
G9,800,19176,0.9,1455,-32,1639,359,1806,1000,1945,
G9,800,19176,1,1455,-52,1648,349,1810,20,1908,
G9,800,19176,1,1455,-38,1642,349,1797,50,1866,
G9,800,19176,1,1455,-32,1649,355,1808,100,1960,
G9,800,19176,1,1455,-30,1647,358,1808,500,1929,
G9,800,19176,1,1455,-37,1648,357,1808,1000,1929,
