1 61.7463
2 65.1762
3 71.4575
4 73.4072
5 75.4672
6 77.7497
7 78.4874
8 79.3161
9 81.3907
10 80.6653
11 82.0437
12 82.2982
13 82.5337
14 83.1403
15 83.368
16 83.6429
17 83.5615
18 84.3948
19 85.4968
20 84.9834
21 85.2779
22 85.6169
23 85.4958
24 85.5747
25 86.647
26 86.2873
27 86.3737
28 86.5848
29 86.7141
30 86.9436
31 87.8417
32 88.0179
33 87.8895
34 87.9316
35 88.34
36 87.7851
37 88.3149
38 88.1545
39 88.6686
40 88.35
41 88.399
42 88.465
43 88.6507
44 88.5026
45 89.14
46 89.3034
47 89.3721
48 89.5956
49 89.1133
50 89.4256
51 89.756
52 89.8119
53 89.3791
54 89.9775
55 89.9929
56 89.8897
57 90.0503
58 90.9785
59 90.3091
60 90.3589
61 90.1888
62 90.4522
63 90.7291
64 90.7583
65 90.6569
66 91.2558
67 90.5938
68 91.0391
69 91.0381
70 91.2368
71 91.457
72 91.1566
73 90.9349
74 91.0913
75 91.2724
76 92.3442
77 91.6833
78 92.0663
79 92.2347
80 91.9969
81 92.1348
82 92.2866
83 92.2787
84 92.1387
85 92.3364
86 92.7836
87 91.9548
88 92.8225
89 93.9893
90 92.2085
91 92.258
92 92.2529
93 93.5807
94 92.8969
95 93.3597
96 94.1208
97 94.0644
98 93.0124
99 93.4109
